                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.3015,                 0.9366,                 2.0098,                 1.2861,                0.24856,                0.39408,                0.21599,                0.10742,                0.24611,                0.39019,                0.21521,                0.10641,                      0,                      0,                    inf,                      0,               0.007459,               0.007459,               0.007459
                     79,                 1.3958,                0.97605,                 2.0746,                 1.3633,                0.32791,                 0.4338,                0.29491,                0.17378,                0.32445,                0.43614,                0.29123,                0.16311,                      0,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     80,                 1.3508,                0.93872,                 2.0416,                 1.3356,                0.37437,                0.52429,                0.35876,                0.23735,                0.37154,                0.53193,                0.35693,                0.23375,                      0,                      0,                    inf,                      0,               0.007393,               0.007393,               0.007393
                     81,                  1.349,                0.96937,                 2.0467,                 1.3387,                0.33537,                0.41146,                0.27675,                0.14684,                0.33347,                0.40913,                0.27709,                0.14569,                      0,                      0,                    inf,                      0,                0.00736,                0.00736,                0.00736
                     82,                 1.3543,                0.98268,                 1.9987,                    1.3,                0.26038,                0.31386,                0.18518,                0.07847,                0.26168,                0.31542,                0.18448,                0.07694,                      0,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     83,                 1.3237,                0.94923,                 2.0254,                 1.3186,                0.30441,                0.38084,                0.26795,                0.14122,                0.29943,                0.37461,                0.26168,                0.13777,                      0,                      0,                    inf,                      0,               0.007294,               0.007294,               0.007294
                     84,                 1.2865,                0.95948,                 1.9784,                 1.2695,                0.33684,                0.35903,                0.26742,                 0.1113,                 0.3394,                0.37413,                0.27667,                0.11079,                      0,                      0,                    inf,                      0,               0.007261,               0.007261,               0.007261
                     85,                 1.3726,                0.98339,                 2.0444,                 1.3324,                0.35682,                0.53663,                0.35982,                0.18863,                 0.3531,                0.53972,                0.36004,                0.19546,                      0,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     86,                 1.3045,                0.94148,                 1.9515,                  1.265,                0.33018,                0.36137,                0.27114,                0.11043,                0.32138,                0.36293,                0.27263,                0.10923,                      0,                      0,                    inf,                      0,               0.007195,               0.007195,               0.007195
                     87,                 1.3358,                0.96896,                  2.009,                 1.3102,                0.25945,                 0.2757,                0.19926,                0.06873,                0.26043,                0.28115,                0.20257,                0.06777,                      0,                      0,                    inf,                      0,               0.007162,               0.007162,               0.007162
                     88,                 1.3441,                0.97306,                 2.0564,                 1.3469,                0.31663,                 0.3558,                0.26765,                0.12411,                 0.3121,                0.36006,                0.26743,                0.12298,                      0,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     89,                  1.308,                0.99265,                 1.9722,                 1.2642,                0.25953,                0.24377,                0.16794,                0.06478,                0.25456,                0.24299,                0.16628,                0.06553,                      0,                      0,                    inf,                      0,               0.007096,               0.007096,               0.007096
                     90,                 1.3008,                0.97758,                 1.9518,                 1.2696,                0.29425,                0.41978,                0.26751,                0.11996,                0.28824,                0.41121,                0.26307,                 0.1194,                      0,                      0,                    inf,                      0,               0.007063,               0.007063,               0.007063
                     91,                 1.3673,                0.96762,                 2.0368,                 1.3409,                0.25248,                0.12539,                0.09189,                0.02649,                0.24116,                0.12772,                0.08994,                  0.024,                      0,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     92,                 1.2952,                0.91285,                 1.9642,                 1.2896,                0.27073,                0.18925,                0.12526,                0.03819,                0.27361,                0.18717,                0.12456,                0.03576,                      0,                      0,                    inf,                      0,               0.006997,               0.006997,               0.006997
                     93,                 1.2988,                0.99198,                  1.959,                 1.2588,                0.28637,                0.25623,                0.18755,                0.06544,                0.28286,                0.24922,                0.18696,                0.06569,                      0,                      0,                    inf,                      0,               0.006964,               0.006964,               0.006964
                     94,                 1.3649,                 1.0348,                 2.0322,                 1.2963,                0.31644,                0.47196,                0.30053,                0.15844,                0.31122,                0.46417,                0.29499,                0.15355,                      0,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     95,                 1.2878,                0.99871,                 1.9879,                 1.2748,                 0.2624,                0.39121,                 0.2416,                0.11397,                0.25858,                0.38551,                0.23802,                0.10917,                      0,                      0,                    inf,                      0,               0.006898,               0.006898,               0.006898
                     96,                 1.2749,                0.95658,                 1.9873,                 1.2663,                0.26447,                0.30804,                0.20116,                0.08186,                 0.2525,                0.29859,                0.19035,                0.07867,                      0,                      0,                    inf,                      0,               0.006865,               0.006865,               0.006865
                     97,                 1.3367,                   1.02,                 2.0374,                   1.32,                0.23785,                0.21495,                0.16809,                0.06448,                0.20545,                0.22616,                0.16077,                0.06264,                      0,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     98,                 1.2972,                0.94059,                 1.9981,                 1.2909,                0.24542,                0.39798,                0.26554,                0.13174,                0.24494,                 0.3972,                0.26421,                0.13511,                      0,                      0,                    inf,                      0,               0.006799,               0.006799,               0.006799
                     99,                  1.267,                0.97388,                 1.9585,                 1.2623,                0.28953,                0.17757,                0.13718,                0.04717,                0.28119,                0.18224,                0.14069,                0.04605,                      0,                      0,                    inf,                      0,               0.006766,               0.006766,               0.006766
                    100,                 1.2707,                0.92787,                 1.9706,                 1.2712,                0.32436,                0.40732,                 0.2906,                0.13372,                 0.3312,                 0.4229,                0.29761,                0.13918,                      0,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                    101,                 1.2831,                0.97479,                 1.9543,                 1.2664,                0.35507,                 0.6496,                0.38234,                0.23589,                0.35507,                 0.6496,                0.38307,                 0.2286,                      0,                      0,                    inf,                      0,                 0.0067,                 0.0067,                 0.0067
                    102,                  1.245,                0.95911,                 1.9207,                 1.2397,                0.30789,                0.40966,                 0.2795,                0.11213,                0.30482,                0.42212,                0.28243,                0.11357,                      0,                      0,                    inf,                      0,               0.006667,               0.006667,               0.006667
                    103,                  1.283,                0.94915,                 1.9515,                 1.2531,                0.27355,                0.30841,                 0.1932,                0.07833,                0.27562,                0.31075,                0.19622,                0.07705,                      0,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                    104,                 1.3257,                0.94751,                 1.9948,                 1.3155,                0.32525,                0.47819,                0.29246,                0.14637,                0.32472,                0.47741,                0.29249,                0.14386,                      0,                      0,                    inf,                      0,               0.006601,               0.006601,               0.006601
                    105,                 1.3031,                 1.0059,                 1.9724,                 1.2749,                0.23446,                0.41044,                 0.2341,                0.10527,                0.22334,                0.39097,                0.22252,                0.09779,                      0,                      0,                    inf,                      0,               0.006568,               0.006568,               0.006568
                    106,                 1.3285,                 1.0062,                 1.9914,                 1.2815,                0.29719,                0.54673,                0.31372,                0.17562,                0.29423,                0.54128,                0.31005,                0.16301,                      0,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                    107,                 1.3383,                 1.0378,                 2.0089,                 1.3125,                0.24279,                 0.3933,                0.24151,                0.13325,                0.23314,                 0.3895,                0.23534,                0.12948,                      0,                      0,                    inf,                      0,               0.006502,               0.006502,               0.006502
                    108,                 1.2839,                 0.9275,                 1.9637,                  1.257,                0.21404,                0.30763,                 0.1911,                0.09121,                0.21404,                0.30763,                0.19073,                0.08738,                      0,                      0,                    inf,                      0,               0.006469,               0.006469,               0.006469
                    109,                 1.2684,                0.93942,                  1.963,                 1.2716,                0.33906,                0.53505,                0.35287,                0.24547,                0.33906,                0.53505,                0.35165,                0.23848,                      0,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
